category,subcategory,element_id,element_label,collection_rules,onestop_rules,granule_rules,doi_minting_rules,data_citation_rules,doi_landing_page_rules,rationale,content,REQUIRED_IF,LOGIC,OR,score,xpath
,,,,"v2.1, 2016-10-06","v1.0, 2016-10-07","v.1.3, 2016-10-07","v1, 2014-03-21","v1, 2014-03-21","v1, 2014-03-21",,,,,,1,rev. 2016-12-15
Access,,distContact,Access Contact,Required,Required,Not Required,Not Required,Not Required,Recommended,,,scopeCode != fieldSession; status != planned,AND,,1,//gmd:MD_Distribution//gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty
Access,,dataCenterKeyword,Data Center Keyword,Recommended,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'dataCenter']/gmd:keyword
Access,,dataCenterKeywordThesaurus,Data Center Keyword Thesaurus,Recommended,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'dataCenter']/gmd:thesaurusName/gmd:CI_Citation/gmd:title
Access,,distFormatVersion,Distribution File Format Version,Not Required,Required,Required,Not Required,Not Required,Not Required,"Document with @gco:nilReason=""inapplicable"" or ""missing"" if appropriate",,,,,1,//gmd:MD_Distribution//gmd:MD_Format/gmd:version
Access,,distFormat,Distribution Format,Required,Required,Required,Not Required,Not Required,Required,,,scopeCode != fieldSession; status != planned,AND,,1,//gmd:MD_Distribution//gmd:MD_Format/gmd:name
Access,,distURL,Distribution URL,Required,Required,Required,Not Required,Not Required,Required,,,scopeCode != fieldSession; status != planned,AND,,1,//gmd:MD_Distribution//gmd:MD_DigitalTransferOptions/gmd:onLine/gmd:CI_OnlineResource/gmd:linkage
Access,,distURLProtocol,Distribution URL Protocol,Not Required,Required,Required,Not Required,Not Required,Not Required,Document with relevant identifier from this table: https://github.com/OSGeo/Cat-Interop/blob/master/LinkPropertyLookupTable.csv,,,,,1,//gmd:MD_Distribution//gmd:MD_DigitalTransferOptions/gmd:onLine/gmd:CI_OnlineResource/gmd:protocol
Access,,specification,Format Specification,Recommended,Recommended,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:MD_Distribution//gmd:MD_Format/gmd:specification
Access,,resourceConstraint,Resource Constraint,Required,Required,Not Required,Not Required,Not Required,Not Required,,,scopeCode != fieldSession; status != planned,AND,,1,//gmd:MD_DataIdentification/gmd:resourceConstraints
Access,,accessConstraint,Access Constraint,Not Required,Not Required,Not Required,Not Required,Not Required,Recommended,,,,,,1,//gmd:MD_DataIdentification/gmd:resourceConstraints/gmd:MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode/@codeListValue
Access,,useLimitation,Use Limitation,Not Required,Not Required,Not Required,Not Required,Not Required,Recommended,,,,,,1,//gmd:resourceConstraints/gmd:MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode/@codeListValue
Associated Resource,,crossRefName,Cross Reference Citation,Recommended,Required,Not Required,Not Required,Not Required,Not Required,Required to provide a citation for DSMM Report,,,,,1,//gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation[gmd:associationType/gmd:DS_AssociationTypeCode/@codeListValue = 'crossReference']/gmd:aggregateDataSetName/gmd:CI_Citation/gmd:title
Associated Resource,,crossRefType,Cross Reference Type,Recommended,Required,Not Required,Not Required,Not Required,Not Required,Required to provide a citation for DSMM Report,,,,,1,//gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation[gmd:associationType/gmd:DS_AssociationTypeCode/@codeListValue = 'crossReference']/gmd:initiativeType/gmd:DS_InitiativeTypeCode/@codeListValue
Associated Resource,,largerWorkName,Larger Work Citation,Recommended,Recommended,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation[gmd:associationType/gmd:DS_AssociationTypeCode/@codeListValue = 'largerWorkCitation']/gmd:aggregateDataSetName/gmd:CI_Citation/gmd:title
